,Unnamed: 0,post,date,places_names,places,emotions,keywords
15,15,"Цена: 1700руб.
Арт: 2Г-34
Размеры: 52,54,56,58,60
Материал: велюр, хлопок
Арт: 4614393",1702684800,['хлопок\nАрт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEGATIVE'],"[[('цена руб арт', 0.7545), ('руб арт', 0.741), ('велюр хлопок арт', 0.7184), ('руб арт размеры', 0.7151), ('арт размеры материал', 0.7054)]]"
16,16,Original: https://live.staticflickr.com/65535/53354002575_bd45ec844a_k.jpg,1702684800,[],[],[],[]
17,17,"швабра 
швабра с простым и эффективным механизмом отжима. одним движением лопасти швабры складываются, насадка скручивается и отжимается. увеличенная чистящая поверхность и обтекаемые формы, угол поворота 360 градусов, насадка из микрофибры, которая собирает пыль, волосы, очень быстро впитывает жидкости, не оставляет разводов, не царапает пол. всё это позволяет быстро и качественно сделать уборку. 
цена: 570 руб  
 артикул: 4913918",1702684800,[],[],[],[]
18,18,"Пижама
Цена: 1150руб.
Размеры: 46,48,50,52,54,56
Материал: хлопок
Арт: 4636151",1702684800,[],[],[],[]
19,19,"Карнавальный костюм
Цена: 1150руб.
Арт: 24-63
Размеры: 110,116,122,128,140,146,152
Арт: 4634627",1702684800,[],[],[],[]
20,20,"2335
Колготки в рубчик на меху🔥🔥🔥Размер 56-62 единка
Тянутся класссно💥💥💥Не скатывается
Цена 2700₽(6шт)",1702684800,"['Тянутся класссноНе', 'Цена']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('класссноне скатывается цена', 0.7995), ('скатывается цена шт', 0.7961), ('колготки рубчик мехуразмер', 0.7768), ('рубчик мехуразмер единка', 0.7522), ('скатывается цена', 0.74)], [('класссноне скатывается цена', 0.7995), ('скатывается цена шт', 0.7961), ('колготки рубчик мехуразмер', 0.7768), ('рубчик мехуразмер единка', 0.7522), ('скатывается цена', 0.74)]]"
21,21,"Цена: 1650руб.
Размеры: 74,86,92,98,104
Материал: фатин",1702684800,[],[],[],[]
22,22,"Водолазка
Размеры: 5-6,6-7,7-8
Материал: хлопок",1702684800,[],[],[],[]
23,23,Original: https://sun9-67.userapi.com/impg/ovKzK8-xaiZAMhdvUsqXk-beM1udJC0pGqZ2cQ/cTcHDFTnHWM.jpg?size=342x720&quality=96&sign=26b2a79ceff531418e130c52380de6fc&type=album,1702684800,[],[],[],[]
24,24,"Костюм тройка
Цена: 1730руб.
Размеры: 54,56,58,60,62,64
Верх: футболка
Материал: лайт, трикотаж
Размерность: в размер
Арт: 4636003",1702684800,[],[],[],[]
25,25,"Кошелек
Цена: 1200руб.
Материал: кожа
Арт: 4635054",1702684800,[],[],[],[]
26,26,"Платье
Цена: 2250руб.
Арт: 2Г-06
Размеры: 42,46,ЕДИНЫЙ
Материал: трикотаж
Модель: 168см",1702684800,"['ЕДИНЫЙ\nМатериал', 'Модель']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEGATIVE', 'NEGATIVE']","[[('руб арт размеры', 0.7462), ('цена руб арт', 0.738), ('руб арт', 0.7147), ('платье цена руб', 0.7126), ('трикотаж модель см', 0.7054)], [('руб арт размеры', 0.7462), ('цена руб арт', 0.738), ('руб арт', 0.7147), ('платье цена руб', 0.7126), ('трикотаж модель см', 0.7054)]]"
27,27,Original: https://sun9-67.userapi.com/impg/HZQJZWETb22WM3AxW8cto8LiNUBd59RIB1mK6g/BgQopNnjcT8.jpg?size=411x720&quality=96&sign=f6b730eb0c54476e83bd8a200f216498&type=album,1702684800,[],[],[],[]
28,28,"Хлопушка
Цена: 500руб.
Арт: C-2-3-07
Арт: 4590016",1702684800,"['Арт', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('цена руб арт', 0.8186), ('хлопушка цена руб', 0.7964), ('руб арт', 0.7706), ('руб арт арт', 0.7608), ('хлопушка цена', 0.7491)], [('цена руб арт', 0.8186), ('хлопушка цена руб', 0.7964), ('руб арт', 0.7706), ('руб арт арт', 0.7608), ('хлопушка цена', 0.7491)]]"
29,29,"Свитер
Цена: 1430руб.
Размеры: 48,50,52,54,56
Материал: шерсть
Размерность: в размер
Арт: 4581431",1702684800,[],[],[],[]
30,30,"Цена: 2310руб.
Размеры: 50,52,54,56,58,60",1702684800,[],[],[],[]
31,31,"Распродажа по 300 рубле 
Размера (44-46)
Цвета без выбора 
Линии 24 контейнер 75",1702684800,[],[],[],[]
32,32,Original: https://sun9-41.userapi.com/impg/wIX2dGGvguaXfMW8O4KIoWtyyoD9thAk9RtEbg/nZIaiGDEV8U.jpg?size=807x799&quality=95&sign=e5357c8d03aa5145d67a5332bbc96a92&c_uniq_tag=OAkATiTltiHwdeGBLYflH22hvAnorlsdBDsl-TVKR2I&type=album,1702684800,[],[],[],[]
33,33,"Гирлянда
Цена: 1100руб.
Арт: 30-50
Арт: 4640421",1702684800,"['Арт', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('цена руб арт', 0.8607), ('гирлянда цена руб', 0.8563), ('руб арт арт', 0.8289), ('руб арт', 0.8173), ('гирлянда цена', 0.817)], [('цена руб арт', 0.8607), ('гирлянда цена руб', 0.8563), ('руб арт арт', 0.8289), ('руб арт', 0.8173), ('гирлянда цена', 0.817)]]"
34,34,"Юбка
Цена: 1200руб.
Размеры: 42,44,46,48
Материал: джинс
Арт: 4638135",1702684800,[],[],[],[]
35,35,"Спортивный костюм
Цена: 2300руб.
Размеры: 92,98,104,110,116,122,128,134,140,146,152,158
Материал: трехнитка, флис
Начес: с начесом",1702684800,[],[],[],[]
36,36,Original: https://sun9-14.userapi.com/impg/wmS3UAAuQ_Q6ip5bchvrtxKGRRoYcRv92bm0hw/tdOO-cyIWRo.jpg?size=658x720&quality=96&sign=fd24645f04c7e2418044302829ce02f0&type=album,1702684800,[],[],[],[]
37,37,"Столовый набор
Цена: 2250руб.
Арт: 4640697",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('цена руб арт', 0.8842), ('столовый набор цена', 0.8694), ('набор цена руб', 0.8628), ('набор цена', 0.8202), ('руб арт', 0.8)]]"
38,38,"Цена 860 руб
Размеры 46-48, 48-50, 50-52, 52-54, 54-56
Арт.1-б-60
Цена комплект
Мужские трусы
Состав 100% хлопок
В комплекте 5шт трусы + коробка в подарок",1702684800,[],[],[],[]
39,39,"Рубашка
Цена: 2050руб.
Арт: Б-2Г-38
Размеры: 46,48,50,52,54
Материал: трехнитка
Арт: 4581879",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('руб арт', 0.7799), ('рубашка цена руб', 0.7564), ('цена руб арт', 0.748), ('руб арт размеры', 0.7396), ('рубашка цена', 0.7331)]]"
40,40,"Ремень
Цена: 550руб.
Арт: 23-114
Материал: эко-кожа
Арт: 4631401",1702684800,"['Арт', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('цена руб арт', 0.7846), ('руб арт материал', 0.7777), ('руб арт', 0.7762), ('эко кожа арт', 0.7731), ('кожа арт', 0.7546)], [('цена руб арт', 0.7846), ('руб арт материал', 0.7777), ('руб арт', 0.7762), ('эко кожа арт', 0.7731), ('кожа арт', 0.7546)]]"
41,41,"Футболка
Цена: 1200руб.
Арт: Б-2Г-64
Размеры: 56,58,60,62,64,66
Материал: хлопок
Размерность: батал
Арт: 4640592",1702684800,"['Цена', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEGATIVE', 'NEGATIVE']","[[('размерность батал арт', 0.7368), ('батал арт', 0.7306), ('размерность батал', 0.6975), ('руб арт', 0.6913), ('хлопок размерность батал', 0.6863)], [('размерность батал арт', 0.7368), ('батал арт', 0.7306), ('размерность батал', 0.6975), ('руб арт', 0.6913), ('хлопок размерность батал', 0.6863)]]"
42,42,"Корректирующее белье
Цена: 1450руб.
Арт: 2А-18/1
Размеры: L,M,XL
Выбор цвета: разные цвета
Материал: хлопок
Швы: без швов
Арт: 4625007",1702684800,[],[],[],[]
43,43,"https://vk.com/photo-184814919_478764586
АРТ 2Д-22
костюм
Цена: 1100 руб.
Размер: 128см
Ткань: хб",1702684800,"['Цена', 'Ткань']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEGATIVE', 'NEGATIVE']","[[('костюм цена руб', 0.7309), ('photo арт костюм', 0.728), ('цена руб размер', 0.7221), ('цена руб', 0.7154), ('см ткань хб', 0.6822)], [('костюм цена руб', 0.7309), ('photo арт костюм', 0.728), ('цена руб размер', 0.7221), ('цена руб', 0.7154), ('см ткань хб', 0.6822)]]"
44,44,"PowerBank
Цена: 750руб.
Арт: 6-06
Материал: пластик
Арт: 4636472",1702684800,"['Арт', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('powerbank цена руб', 0.7809), ('powerbank цена', 0.7335), ('цена руб арт', 0.7145), ('руб арт материал', 0.7107), ('руб арт', 0.7061)], [('powerbank цена руб', 0.7809), ('powerbank цена', 0.7335), ('цена руб арт', 0.7145), ('руб арт материал', 0.7107), ('руб арт', 0.7061)]]"
45,45,"Кошелек
Цена: 1900руб.
Материал: кожа
Арт: 4635054",1702684800,[],[],[],[]
46,46,Original: https://derpicdn.net/img/2023/12/15/3261354/large.png,1702684800,[],[],[],[]
47,47,"Колготки
Цена: 900руб.
Арт: 1Б-77
Размеры: 98,104,116,128,140
В упаковке: 3 шт
Материал: хлопок
Производитель: турция",1702684800,['Производитель'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('упаковке шт материал', 0.7149), ('колготки цена руб', 0.7072), ('цена руб арт', 0.7033), ('размеры упаковке шт', 0.6887), ('шт материал хлопок', 0.6778)]]"
48,48,"Свитер
Цена: 1430руб.
Размеры: 48,56,ЕДИНЫЙ
Материал: шерсть
Арт: 4637044",1702684800,[],[],[],[]
49,49,"Модульная картина
Цена: 1650руб.
Размеры: 80х125см
Арт: 4608429",1702684800,['хсм\nАрт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('размеры хсм арт', 0.8456), ('хсм арт', 0.7709), ('руб размеры хсм', 0.7611), ('картина цена руб', 0.7516), ('размеры хсм', 0.7464)]]"
50,50,"Арт.А-2Г-39
Костюм
Цена: 2320 Рубль
Размер: 134,140,146,152 рост 
в размер

Для заказа писать в ЛС.",1702684800,[],[],[],[]
51,51,"Жилет
Цена: 2030руб.
Арт: Б-2Д-87
Размеры: 42,44,46,48
Материал: холлофайбер
Арт: 4635424",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('жилет цена руб', 0.7912), ('цена руб арт', 0.7794), ('руб арт', 0.743), ('материал холлофайбер арт', 0.741), ('холлофайбер арт', 0.7381)]]"
52,52,"Цена: 950руб.
Размеры: 50,52,54,56,58,60
Материал: лапша
Арт: 4622368",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('размеры материал лапша', 0.769), ('материал лапша арт', 0.7652), ('лапша арт', 0.7613), ('материал лапша', 0.747), ('цена руб размеры', 0.7246)]]"
53,53,"Цена: 900руб.
Арт: 4640266",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('цена руб арт', 0.9493), ('цена руб', 0.8914), ('руб арт', 0.8342), ('цена', 0.8202), ('арт', 0.7014)]]"
54,54,"Арт а-1г-82
двойка
Размеры 56,58
Длина кофты - 75
Длина брюк - 103
Ткань трикотаж
Цена 3340  (окончательная) руб.",1702684800,[],[],[],[]
55,55,Original: https://img3.gelbooru.com/images/71/07/71075394228bd57660b3ca2496a4820a.jpg,1702684800,[],[],[],[]
56,56,Original: https://sun9-21.userapi.com/c909228/u237415460/d47/-3/y_a1b2ba9560.jpg,1702684800,[],[],[],[]
57,57,"Трусы
Цена: 850руб.
Арт: 1Б-20
Размеры: 42,44,46,48
Арт: 4639382",1702684800,"['Арт', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('цена руб арт', 0.7819), ('руб арт', 0.7655), ('трусы цена руб', 0.7626), ('руб арт размеры', 0.7518), ('цена руб', 0.7234)], [('цена руб арт', 0.7819), ('руб арт', 0.7655), ('трусы цена руб', 0.7626), ('руб арт размеры', 0.7518), ('цена руб', 0.7234)]]"
58,58,"https://vk.com/photo-184814919_478941928
АРТ:СТ6-45;Б-2Д-100
жилетка
Цена: 600 руб.
Размер: единый, подходит на 42-50
Ткань: кашемир",1702684800,"['Цена', 'Ткань']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('photo арт', 0.7264), ('com photo арт', 0.7211), ('photo арт ст', 0.7171), ('подходит ткань кашемир', 0.6638), ('руб размер единый', 0.6613)], [('photo арт', 0.7264), ('com photo арт', 0.7211), ('photo арт ст', 0.7171), ('подходит ткань кашемир', 0.6638), ('руб размер единый', 0.6613)]]"
59,59,"Цена: 640руб.
Размеры: 128,134,140,146,152
Материал: хлопок
Арт: 4639279",1702684800,[],[],[],[]
60,60,"Пижама
Цена: 950руб.
Размеры: 92,98,104,110,116
Размерность: в размер
Арт: 4638383",1702684800,[],[],[],[]
61,61,"Туника
Цена: 2250руб.
Арт: 2Г-38
Размеры: 42,52,ЕДИНЫЙ
Длина: 85см
Материал: хлопок
Арт: 4639895",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('цена руб арт', 0.725), ('руб арт', 0.7238), ('руб арт размеры', 0.7034), ('материал хлопок арт', 0.6857), ('хлопок арт', 0.6783)]]"
62,62,"Алмазная мозаика
Цена: 950руб.
Арт: 8-05
Размеры: 40х50см
Стразы: акриловые
Арт: 4602502",1702684800,"['Арт', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('руб арт размеры', 0.7701), ('арт размеры', 0.7515), ('стразы акриловые арт', 0.7436), ('цена руб арт', 0.7256), ('алмазная мозаика цена', 0.7131)], [('руб арт размеры', 0.7701), ('арт размеры', 0.7515), ('стразы акриловые арт', 0.7436), ('цена руб арт', 0.7256), ('алмазная мозаика цена', 0.7131)]]"
63,63,"Цена: 500руб.
Арт: 1Д-01/1У
Размеры: 41-47
Материал: хлопок
Арт: 4635621",1702684800,"['Арт', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('цена руб арт', 0.771), ('руб арт размеры', 0.7532), ('руб арт', 0.753), ('арт размеры', 0.7374), ('арт размеры материал', 0.7272)], [('цена руб арт', 0.771), ('руб арт размеры', 0.7532), ('руб арт', 0.753), ('арт размеры', 0.7374), ('арт размеры материал', 0.7272)]]"
64,64,"Костюм
Цена: 1500руб.
Арт: Б-2В-57
Размеры: 50,52,54,56,58,60
Доп. опция: капюшон
Материал: ангора
Размерность: в размер
Арт: 4635943",1702684800,[],[],[],[]
65,65,"Цена: 955
АРТ:2В-08
рубашка
Размер: 42 44 46 48 50 52
Ткань: шерсть",1702684800,[],[],[],[]
66,66,"Постельное белье
Цена: 1500руб.
Размеры: ЕВРО
Материал: сатин, хлопок
Арт: 4637106",1702684800,[],[],[],[]
67,67,Опытные стилисты в этом приложении помогли мне подобрать новый имидж - https://vk.com/app51781225,1702684800,[],[],[],[]
68,68,"Лосины
Цена: 750руб.
Размеры: 122,128,134,140,146,152
Производитель: турция
Арт: 4638516",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('лосины цена руб', 0.7385), ('производитель турция арт', 0.7103), ('размеры производитель турция', 0.7019), ('турция арт', 0.6915), ('цена руб размеры', 0.6913)]]"
69,69,"Цена: 2550руб.
Арт: 2Б-35
Размеры: 44,46,48,50,52,54,56
Арт: 4605604",1702684800,[],[],[],[]
70,70,"Колготки
Цена: 830руб.
Размеры: 86,92,98,104,116,128
В упаковке: 6 шт
Выбор цвета: разные цвета
Материал: хлопок
Начес: без начеса
Арт: 4622153",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('цвета разные цвета', 0.7622), ('выбор цвета разные', 0.7614), ('разные цвета материал', 0.7438), ('разные цвета', 0.7438), ('цвета материал хлопок', 0.7421)]]"
71,71,"Леггинсы
Цена: 1000руб.
Арт: Б-2В-57
Размеры: 44,46,48,50,52
Начес: с начесом
Арт: 4635962",1702684800,"['Арт', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEGATIVE', 'NEGATIVE']","[[('цена руб арт', 0.7498), ('руб арт размеры', 0.7292), ('леггинсы цена руб', 0.7276), ('руб арт', 0.7262), ('цена руб', 0.6941)], [('цена руб арт', 0.7498), ('руб арт размеры', 0.7292), ('леггинсы цена руб', 0.7276), ('руб арт', 0.7262), ('цена руб', 0.6941)]]"
72,72,Original: https://live.staticflickr.com/65535/53353776563_66f3cae830_k.jpg,1702684800,[],[],[],[]
73,73,"швабра 
швабра с простым и эффективным механизмом отжима. одним движением лопасти швабры складываются, насадка скручивается и отжимается. увеличенная чистящая поверхность и обтекаемые формы, угол поворота 360 градусов, насадка из микрофибры, которая собирает пыль, волосы, очень быстро впитывает жидкости, не оставляет разводов, не царапает пол. всё это позволяет быстро и качественно сделать уборку. 
цена: 570 руб  
 артикул: 4913918",1702684800,[],[],[],[]
74,74,"И я решил окунуться в сказку, правда классно? Попробуйте сами - https://vk.com/app51748213#newyear",1702684800,[],[],[],[]
75,75,"Пальто
Цена: 3700руб.
Размеры: 42,44,46,48
Длина: 110см
Материал: кашемир",1702684800,[],[],[],[]
76,76,"Рисование
Цена: 650руб.
Размеры: 40х50см
Доп. опция: с подрамником",1702684800,[],[],[],[]
77,77,"Костюм тройка , 
Цена:2700₽ руб 
Спортивные тройки
Получили костюмы тройки
Отличного качества
Ткань: бамбук
Размер: черный, графитовый, коричневый и баклажановый 
S 42-44 M 46-48
Розовый и серый М-44 только остались",1702684800,['S - M'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('коричневый баклажановый розовый', 0.65), ('размер черный графитовый', 0.6322), ('графитовый коричневый баклажановый', 0.6315), ('розовый серый', 0.6128), ('баклажановый розовый серый', 0.6118)]]"
78,78,"Дубленка
Цена: 2450руб.
Размеры: 44,46,48,50
Длина: 70см
Материал: искуственный мех, эко-кожа
Размерность: в размер
Сезон: зима
Арт: 4640705",1702684800,[],[],[],[]
79,79,"Бюстгальтер
Цена: 600руб.
Размеры: Единый (42-48)
Материал: без паралона
Швы: без швов
Арт: 4628467",1702684800,[],[],[],[]
80,80,"Ремень
Цена: 400руб.
Арт: Б2-4-13А
В упаковке: 10 шт
Материал: эко-кожа
Арт: 4636339",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEGATIVE'],"[[('цена руб арт', 0.7366), ('руб арт', 0.7335), ('руб арт упаковке', 0.7118), ('арт упаковке шт', 0.6851), ('ремень цена руб', 0.6804)]]"
81,81,Mai Shiranui.,1702684800,[],[],[],[]
82,82,"Юбка
Цена: 1450руб.
Арт: 1Б-20
Размеры: 42,44,46,48
Материал: полиамид
Арт: 4639376",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEGATIVE'],"[[('цена руб арт', 0.7741), ('юбка цена руб', 0.7602), ('руб арт', 0.7427), ('цена руб', 0.713), ('руб арт размеры', 0.71)]]"
83,83,"Платье
Цена: 2650руб.
Размеры: 48,50,52,54
Материал: трикотаж",1702684800,[],[],[],[]
84,84,"Свитер
Цена: 1800руб.
Размеры: Единый (42-48)
Длина: 48см
Материал: ангора, шерсть",1702684800,[],[],[],[]
85,85,Original: https://i.postimg.cc/hPVVt6Jv/photo-2023-12-15-22-25-07.jpg,1702684800,[],[],[],[]
86,86,"Цена: 1200руб.
Размеры: 42,44,46,48
Длина: 125см
Материал: прадо
Арт: 4636860",1702684800,['прадо\nАрт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('цена руб размеры', 0.7724), ('цена руб', 0.716), ('руб размеры длина', 0.7036), ('размеры длина см', 0.7016), ('см материал прадо', 0.6998)]]"
87,87,"Цена: 1650руб.
Размеры: 42,44,46,48
Материал: вельвет
Арт: 4635445",1702684800,[],[],[],[]
88,88,"Толстовка
Цена: 510руб.
Арт: 1Б-77
Размеры: 98,104,110,116,122
Материал: хлопок
Арт: 4638514",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('цена руб арт', 0.7481), ('руб арт', 0.7295), ('материал хлопок арт', 0.7082), ('руб арт размеры', 0.7049), ('толстовка цена руб', 0.7011)]]"
89,89,"Цена: 2400руб.
Размеры: 48,50,52,54
Материал: трикотаж",1702684800,[],[],[],[]
90,90,Original: https://live.staticflickr.com/65535/53352679127_5561f457bd_k.jpg,1702684800,[],[],[],[]
91,91,"Майка и трусы
Цена: 400руб.
Размеры: 122,128,134,140,146
Материал: хлопок
Производитель: узбекистан
Размерность: в размер
Арт: 4639315",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('руб размеры материал', 0.6915), ('размеры материал', 0.6717), ('размеры материал хлопок', 0.6597), ('руб размеры', 0.6502), ('размер', 0.6475)]]"
92,92,"Штаны
Цена: 590руб.
Арт: 2Б-33
Размеры: 44,46,48,50,52,54,56,58,60,62
Материал: рипстоп
Размерность: в размер
Арт: 4631619",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEGATIVE'],"[[('руб арт', 0.7484), ('руб арт размеры', 0.7447), ('цена руб арт', 0.7229), ('арт размеры', 0.714), ('штаны цена руб', 0.7104)]]"
