,Unnamed: 0,place,review,date,location,emotions,keywords
10,10,Жаклин,"Хорошие мастера, адекватные цены 👍",21 сентября,"POLYGON ((49.9912364 53.0896642, 49.9915933 53.0900123, 49.9914142 53.0900785, 49.9910573 53.0897304, 49.9912364 53.0896642))",['POSITIVE'],"[[('мастера адекватные цены', 0.924), ('хорошие мастера адекватные', 0.8978), ('адекватные цены', 0.8655), ('хорошие мастера', 0.8418), ('мастера адекватные', 0.8117)]]"
11,11,Жаклин,Рядом с домом. Красивый экстерьер!,10 августа 2022,"POLYGON ((49.9912364 53.0896642, 49.9915933 53.0900123, 49.9914142 53.0900785, 49.9910573 53.0897304, 49.9912364 53.0896642))",['NEUTRAL'],"[[('домом красивый экстерьер', 0.8988), ('домом красивый', 0.872), ('рядом домом красивый', 0.8689), ('красивый экстерьер', 0.7711), ('рядом домом', 0.7495)]]"
12,12,Детский сад № 35 Ладушки,Отличный садик.,24 декабря,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",['POSITIVE'],"[[('отличный садик', 0.9795), ('отличный', 0.8694), ('садик', 0.7859)]]"
13,13,Детский сад № 35 Ладушки,"Это наш 2-ой сад, перешли по необходимости! Я и дочь счастливы) сейчас она уже в школе, но до сих пор просится зайти к любимым воспитателям и вспоминает с тёплом! ( хотя мой ребёнок не очень контактный)
Весь персонал- отличные, отзывчивые, заботливые, улыбчивые ЛЮДИ! 
Воспитатели всегда в прекрасном настроении, детям с ними весело, они чувствуют искреннее, доброе отношение к себе!!!
Директор- замечательная, здесь нет сомнений!!!
Муз работник, отдельное спасибо, дети ждали с нетерпением занятие по вокалу, подготовка к праздникам на высшем уровне😌😉",26 ноября,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",['POSITIVE'],"[[('сад перешли необходимости', 0.4981), ('перешли необходимости дочь', 0.4954), ('перешли необходимости', 0.4905), ('люди воспитатели прекрасном', 0.4752), ('улыбчивые люди воспитатели', 0.4727)]]"
14,14,Детский сад № 35 Ладушки,Очень хороший садик...,4 ноября,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",['POSITIVE'],"[[('очень хороший садик', 0.978), ('хороший садик', 0.9179), ('очень хороший', 0.9016), ('хороший', 0.8422), ('садик', 0.6955)]]"
15,15,Детский сад № 35 Ладушки,"В саду были временно,в связи с ремонтом основного детского сада.
Нареканий нет, питание хорошее,соблюдается режим, прогулки на свежем воздухе два раза в день.",18 октября,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",['POSITIVE'],"[[('свежем воздухе раза', 0.7628), ('воздухе раза день', 0.7621), ('прогулки свежем воздухе', 0.7283), ('воздухе раза', 0.7233), ('временно связи ремонтом', 0.716)]]"
16,16,Детский сад № 35 Ладушки,Средний садик.,10 июня,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",['NEGATIVE'],"[[('средний садик', 0.9898), ('средний', 0.8935), ('садик', 0.8711)]]"
17,17,Детский сад № 35 Ладушки,"Прекрасный садик. Добрые воспитатели, есть все специалисты. Кормят вкусно, сынок всегда доволен.",2 марта,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",['POSITIVE'],"[[('садик добрые воспитатели', 0.8093), ('прекрасный садик добрые', 0.7804), ('добрые воспитатели', 0.7694), ('добрые воспитатели специалисты', 0.7628), ('прекрасный садик', 0.7571)]]"
18,18,Детский сад № 35 Ладушки,Добрые воспитатели и хорошее питание,3 февраля,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",['POSITIVE'],"[[('воспитатели хорошее питание', 0.9459), ('добрые воспитатели хорошее', 0.9424), ('воспитатели хорошее', 0.8926), ('добрые воспитатели', 0.8882), ('хорошее питание', 0.8712)]]"
19,19,Детский сад № 35 Ладушки,Хорошо сад! 🥰,13 января,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",['POSITIVE'],"[[('сад', 0.6721)]]"
20,20,Детский сад № 35 Ладушки,"Последний раз был 45 лет назад, очень хороший дет сад был в то время)))",7 ноября 2022,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",['POSITIVE'],"[[('назад очень хороший', 0.7852), ('последний лет назад', 0.7666), ('хороший дет сад', 0.7558), ('очень хороший дет', 0.7029), ('хороший дет', 0.697)]]"
21,21,Нотариальная контора,"Была здесь впервые. Очереди нет. Обслуживают быстро.Цены приемлемые. Только коридорчик узенький, летом наверное душновато будет. А в остальном все нормально.Если ещё понадобится нотариус, приду только сюда.",18 декабря,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('очереди обслуживают быстро', 0.6991), ('ещё понадобится нотариус', 0.6657), ('нормально ещё понадобится', 0.6574), ('обслуживают быстро', 0.6352), ('впервые очереди обслуживают', 0.6344)]]"
22,22,Нотариальная контора,"Единственный нотариус в Новокуйбышевске, который проводит межрегиональные сделки.",11 декабря,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['NEGATIVE'],"[[('единственный нотариус новокуйбышевске', 0.8978), ('новокуйбышевске который проводит', 0.859), ('нотариус новокуйбышевске который', 0.8298), ('новокуйбышевске который', 0.8137), ('единственный нотариус', 0.7958)]]"
23,23,Нотариальная контора,Все хорошо,30 июля,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],[[]]
24,24,Нотариальная контора,"Спасибо за быстрое решение проблемы,рекомендую!Отзывчивый и добрый персонал,могут проконсультировать по любому вопросу",15 августа 2022,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('спасибо быстрое решение', 0.8042), ('спасибо быстрое', 0.7677), ('быстрое решение проблемы', 0.7607), ('проблемы рекомендую отзывчивый', 0.75), ('проблемы рекомендую', 0.7397)]]"
25,25,Bellezza,"Солярий отличный, всегда большой выбор крема для загара. И очень часто меняют лампы в салярии. Загар всегда отличный.",19 августа 2021,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('салярии загар отличный', 0.7665), ('загар отличный', 0.7255), ('отличный большой выбор', 0.7021), ('салярии загар', 0.6958), ('солярий отличный', 0.6817)]]"
26,26,Золотая Корона,Перевод денег быстро качественно.,29 апреля 2020,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('денег быстро качественно', 0.9438), ('перевод денег быстро', 0.9246), ('быстро качественно', 0.8893), ('денег быстро', 0.8582), ('перевод денег', 0.8149)]]"
27,27,МТС,"Хорошее обслуживание, понимающие продавцы, сразу поняли и решили мою проблему",15 октября,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('хорошее обслуживание понимающие', 0.8891), ('обслуживание понимающие продавцы', 0.8466), ('решили мою проблему', 0.8278), ('хорошее обслуживание', 0.8274), ('обслуживание понимающие', 0.8058)]]"
28,28,МТС,"Стандартный, чистый удобный салон связи. Хороший ассортимент. Вежливые и хорошо обученные специалисты. В принципе можно спокойно покупать в салоне телефоны и пользоваться их услугами",7 сентября,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('связи хороший ассортимент', 0.7363), ('вежливые обученные специалисты', 0.6903), ('салон связи хороший', 0.6792), ('обученные специалисты', 0.669), ('хороший ассортимент вежливые', 0.6626)]]"
29,29,МТС,"Приходил для покупки телефона для сына, купил по акции инфиникс, подарили второй и симкарту, интересная акция, хорошее обслуживание.",25 августа,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('приходил покупки телефона', 0.8343), ('акции инфиникс подарили', 0.8023), ('инфиникс подарили второй', 0.7737), ('инфиникс подарили', 0.7729), ('приходил покупки', 0.7583)]]"
30,30,МТС,"Не салон, а полный развод, купили симку хотели сделать переадресацию на другой номер, перейти на другой тариф итог ничего не сделано, приходим на следующий день ничего незнаем подходите к тому сотруднику.",13 декабря 2022,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['NEGATIVE'],"[[('итог сделано приходим', 0.6887), ('сделано приходим', 0.6663), ('хотели сделать переадресацию', 0.6649), ('переадресацию номер перейти', 0.6639), ('сделать переадресацию номер', 0.662)]]"
31,31,Бико,Все очень вкусно,15 декабря,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('очень вкусно', 0.9741), ('вкусно', 0.9066), ('очень', 0.707)]]"
32,32,Бико,Колбасы и сосиски очень вкусные,14 декабря,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['NEUTRAL'],"[[('колбасы сосиски', 0.9031), ('колбасы сосиски очень', 0.8941), ('сосиски очень вкусные', 0.853), ('колбасы', 0.8265), ('сосиски очень', 0.7658)]]"
33,33,Бико,"Большой выбор, хорошее обслуживание",13 декабря,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('выбор хорошее обслуживание', 0.9447), ('хорошее обслуживание', 0.9129), ('большой выбор хорошее', 0.9029), ('большой выбор', 0.8713), ('выбор хорошее', 0.8137)]]"
34,34,Бико,"Пекут неплохой хлеб и выпечка тоже на уровне выше среднего, то есть вкусная.",11 декабря,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['NEUTRAL'],"[[('пекут неплохой хлеб', 0.8711), ('неплохой хлеб выпечка', 0.83), ('неплохой хлеб', 0.7927), ('пекут неплохой', 0.7885), ('хлеб выпечка уровне', 0.7497)]]"
35,35,Бико,"Посещали данный магазин, ассортимент разнообразный, народ всегда есть, а это значит, что продукция там вкусная, особенно копчëные крылья. Порадовали и продавцы, от них с пустыми руками не уйдëшь, рекомендуют продукцию, вежливые и на позитиве.",7 декабря,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('продукцию вежливые позитиве', 0.5848), ('посещали данный магазин', 0.5503), ('продавцы пустыми руками', 0.5477), ('рекомендуют продукцию вежливые', 0.5447), ('продукцию вежливые', 0.5378)]]"
36,36,Бико,Вкусно. Приветливые работники.,6 декабря,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('вкусно приветливые работники', 0.9606), ('приветливые работники', 0.9007), ('вкусно приветливые', 0.8665), ('работники', 0.8252), ('вкусно', 0.7362)]]"
37,37,Бико,Ну вроде магазин хороший но я бы хотел чтоб там продавались ещё какие-то газировки ну как минимум хоть бы кока колу фейковую,22 ноября,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['NEGATIVE'],"[[('магазин хороший хотел', 0.8214), ('вроде магазин хороший', 0.8174), ('магазин хороший', 0.8164), ('хороший хотел продавались', 0.7389), ('хороший хотел', 0.7245)]]"
38,38,Бико,Вкусно,18 ноября,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",['POSITIVE'],"[[('вкусно', 1.0)]]"
