,post,date
61,"Сериал «В итоге...». 51-я серия «Осторожно, мошенники!». 
 
Вадим, г. о. Новокуйбышевск: «Приходит мне как-то сообщение в социальной сети от друга Мишки: «Привет, выручай, переведи 500 рублей по номеру телефона». В итоге...». 
 
#Кибербезопасность #ИнформационнаяБезопасность #НетМошенникам 

Больше серий в сообществе: https://vk.com/childrensstudiohm",1703622615
62,"ПОСМОТРИТЕ: Новый выпуск программы «СИМВОЛ ВЕРЫ»: святитель Николай Чудотворец и Зоино стояние

Почему святителя Николая считают «скоропомощником»?
Какие его наставления реализуются в жизни православного человека? 
Почему важно с малых лет говорить с детьми о святых и праздновать дни прославления на их языке?
Как отпраздновали день св. Николая а Иверской гимназии в монастыре?
Что важно знать о документальном фильме «Зоино стояние: чудо под грифом «секретно»?

Гости программы:

• ПРОТОИЕРЕЙ МАКСИМ КОКАРЕВ, ректор Самарской духовной семинарии, историк, кандидат теологии, руководитель Епархального отдела по взаимодействию со СМИ Самарской Епархии
• ИЕРЕЙ АЛЕКСАНДР МИЩЕНКО,  настоятель храма прп. Серафима Саровского, г. Новокуйбышевск, духовник Иверской гимназии
• СУРКОВА ОЛЬГА ИВАНОВНА, вице-президент Глобал Вижн Холдинг, учредитель АНО «Вольга»
• КАРГОВА ЕЛЕНА АНАТОЛЬЕВНА, главный редактор журнала GL, директор АНО «Вольга»

Ведущая:
• НАДЕЖДА КОСМИРОВА, член Совета «Культура и СМИ» Самарской Епархии, член Союза православных женщин Самарской области, кандидат экономических наук

Запись программы можно посмотреть по ссылке:
 ▶️▶️▶️ 
https://vk.com/video-26230866_456247167

[club26230866|ГТРК «Самара» | ТВ | Радио | Новости] 
[club108286047|Самарская Митрополия] 
[club2206378|Самарская Духовная Семинария] 
[club207076438|Иверский женский монастырь г. Самара] 
[id209561158|Максим Кокарев] [id41007383|Александр Мищенко] [id648041192|Ольга Суркова] [id3101533|Елена Каргова]",1703621936
63,"#Самара🐯 ТИГРАН  ДРУЗЬЯ,🔴 очень нужен ГАСТРОИН
ТЕСТИНАЛ ФАЙБЕР РЕСПОНС 🔴
https://biogrand-samara.ru/catalog/koshk…
 с Дюфалаком ✔️Ничем другим кормить нельзя.‼️ Забивается кишечник твердым калом, который уже приходилось убирать ХИРУРГИЧЕСКИ под седацией. 
🔻Поврежден спинной мозг- вырвался от собаки. ПЕРИСТАЛЬТИКИ НЕТ.

🙏Нам очень нужна ПОМОЩЬ‼️

Карта  ПОМОЩИ сбербанка
       2202 2056 7515 9765
          👛👛👛💰💰💰  

🔻Слабительные не действуют. Проблема в неврологии. Курс лечения пройден. Небольшие улучшения есть. Но основная проблема - отсутствие перистальтики - остаётся. 
И сфинктер не работает -  недержание кала. Ходит в памперсах. 
🔻А с этим кормом ТИГРАН может какать сам. Кал от него, простите за подробности, полужидкий. И, только благодаря этому, он справляется. А на клизмах он худеет и голодный. Да и стресс это для него. 
🔻ТИГРАН из бошеных кошек с Новокуйбышевских дач. Давайте поможем ему вместе. 

🔻🙏Прошу помочь купить ЛЕЧЕБНЫЙ КОРМ ТИГРАНУ🙏
https://biogrand-samara.ru/catalog/koshk…

🔻Не обязательно помогать деньгами. Вы можете заказать для Тиграна корм. Можно маленькую упаковку. 

  Ему необходим именно этот корм, Другим кормить нельзя❗
По средам и пятницам в Биогранде скидка на корм 10%
🔻После операции по ушиванию травматического разрыва брюшной стенки восстановился хорошо. 
🙏Сердечное Спасибо всем, кто помогает❤️ 
Переломы срослись сами. 
Но прокусанный спинной мозг обратно не сошьешь. Проблема с кишечником у Тиграна останется 
🔴    НА ВСЮ ЖИЗНЬ    🔴
Ему ещё повезло , что он ходит и бегает! 
🔻По УЗИ много взвеси в мочевом пузыре. Предположительно, от того, что мочевой пузырь опорожняется неполностью. По рекомендации врача УЗИ сдали Общий анализ мочи. Он плохой. 

🙏Мы очень надеемся на вашу ПОМОЩЬ, Друзья ‼️

   🙏 Пожалуйста, делайте репосты. Они помогают узнать о нас тем, кто может помочь🙏

Выписка
https://vk.com/photo645844476_457269637

https://vk.com/photo645844476_457284462

Карта  ПОМОЩИ сбербанка
       2202 2056 7515 9765
          👛👛👛💰💰💰  

https://vk.com/wall-72994730_34303

https://vk.com/wall645844476_7133

https://vk.com/video645844476_456241215?…

🔻🔻А так же не полностью куплены обработки для ЯРОКОТИКОВ. 
  Все взяты с улицы в разное время. Обо всех есть посты на моей странице. 
На ветуслуги, лекарства, корм, наполнитель, клетки, передержку в этом месяце своих средств потрачено больше 25000 р. Ещё долг за передержку . Из своих доплачивать, просто, нечем. 

🔻В остальном у нас всё по плану.
    Симба после удаления глаза и зубов  лечится  на передержке с медуходом.
https://vk.com/wall645844476_8513

https://vk.com/wall645844476_9025

    Янтарик и Кузя проходят лечение почек, назначенное Нефрологом. Янтарик ест УРИНАРИ, Кузя - РЕНАЛ  + 
Телмисартан (телпрес). 
❤️Благодарю всех, кто нам помогает‼️

🔻Ещё предстоят 
🔻 приём с анализами ТИГРАНУ. 
🔻Покупка СПЕЦКОРМА Уринари и Ренал почечникам Янтарику и Кузе. 
🔻Анализы, УЗИ и приём Нефролога Кузе и Янтарику. 
🔻Прием Дерматолога ВаськеЛуке. 
🔻Приём врача Симбе-Антону после курса лечения. 
🔻Обработки всем от внешних
(сделано) и внутренних паразитов. 

🔴ВСЕМ ЯРОКОТИКАМ НУЖНА     
               ПОМОЩЬ 🔴

Карта  ПОМОЩИ сбербанка
       2202 2056 7515 9765
          👛👛👛💰💰💰 

Друзья, с вашей помощью мы много сделали 💖💕❤️✔️👍

Не  бросайте нас и дальше, пожалуйста‼️  

Помощь  можно оказать на  карту сбербанка 

2202 2056 7515 9765
👛👛👛💰💰💰 

Номер телефона не указываю, потому что к нему привязаны и другие карты. 

Отчёт здесь 
https://vk.com/topic-214202200_49460903
И здесь 
https://vk.com/topic-214202200_49470048

В сообществе Ярокот
https://vk.com/club214202200

Куратор https://vk.com/id645844476

  🐈   Истории Феликса, Снежки🐈 Янтаря и других котов с улицы в постах на моей странице 
https://vk.com/wall-160040953_313760
https://vk.com/wall645844476_2734
https://vk.com/wall-160040953_278110
https://vk.com/wall645844476_2010
https://vk.com/wall645844476_2653
https://vk.com/wall645844476_1870
https://vk.com/wall645844476_1970
https://vk.com/wall-40561526_800893
https://vk.com/wall645844476_3612
https://vk.com/wall645844476_3844
https://vk.com/wall645844476_4163
 
Карта сбербанка 
2202 2056 7515 9765",1703621902
64,"Ноутбук aser e5 774g в состоянии близко к идеальному,все характеристики на фото, чек, коробка. Цена 20 тыс Новокуйбышевск",1703620800
66,"⭐ 💘 ⭐ Поиск партнера по всей России

  Новокуйбышевск / познакомиться, отношения, психология  
 
 ✅ Подпишитесь на нашу группу, чтобы поБыстрее познакомиться  👉 Переходите и знакомьтесь - сайт знакомств Найти Пару - №1 в России! - https://dating-in-russia.ru",1703620209
67,"До/После 😍
Исправили асимметрию, вывернули , придали форму
Новокуйбышевск/Самара🤍👄 
Препарат Sardenya 1ml
Время работы: 20-30 мин 💉
Отёк держится 3-5 дней 
———————————————
Запись по телефону или в личные сообщения🥰

#контурнаяпластикагубНовокуйбышевск
#увеличениегубСамара
#увеличениегубНовокуйбышевск
#косметологСамара
#косметологНовокуйбышевск
#косметологСамара",1703619741
68,"На Волге в Самарской области спасли рыбака, который провалился в промоину

Утром 26 декабря спасатели ПСО Новокуйбышевска и спасательной станции «Центральная» отправились на помощь к рыбаку, который провалился промоину на Волге и водозабора поселка Гранный. Два аэроглиссера — «Север» и «Нептун» — в 7:59 вышли со станций в Самаре и Новокуйбышевске. Через 20 минут рыбака нашли и подняли на борт. 
 
Пенсионер 74 лет получил сильное переохлаждение. Его передали медикам Скорой помощи в 8:40, сообщает ПСС Самарской области.

#СамараЖесть #Новости #Самара",1703619392
69,"#Самара🐯 ТИГРАН ДРУЗЬЯ,🔴 очень нужен ГАСТРОИН
ТЕСТИНАЛ ФАЙБЕР РЕСПОНС 🔴
https://biogrand-samara.ru/catalog/koshk…
 с Дюфалаком ✔Ничем другим кормить нельзя.‼ Забивается кишечник твердым калом, который уже приходилось убирать ХИРУРГИЧЕСКИ под седацией. 
🔻Поврежден спинной мозг- вырвался от собаки. ПЕРИСТАЛЬТИКИ НЕТ.

🙏Нам очень нужна ПОМОЩЬ‼

Карта ПОМОЩИ сбербанка
 2202 2056 7515 9765
 👛👛👛💰💰💰 

🔻Слабительные не действуют. Проблема в неврологии. Курс лечения пройден. Небольшие улучшения есть. Но основная проблема - отсутствие перистальтики - остаётся. 
И сфинктер не работает - недержание кала. Ходит в памперсах. 
🔻А с этим кормом ТИГРАН может какать сам. Кал от него, простите за подробности, полужидкий. И, только благодаря этому, он справляется. А на клизмах он худеет и голодный. Да и стресс это для него. 
🔻ТИГРАН из бошеных кошек с Новокуйбышевских дач. Давайте поможем ему вместе. 

🔻🙏Прошу помочь купить ЛЕЧЕБНЫЙ КОРМ ТИГРАНУ🙏
https://biogrand-samara.ru/catalog/koshk…

🔻Не обязательно помогать деньгами. Вы можете заказать для Тиграна корм. Можно маленькую упаковку. 

 Ему необходим именно этот корм, Другим кормить нельзя❗
По средам и пятницам в Биогранде скидка на корм 10%
🔻После операции по ушиванию травматического разрыва брюшной стенки восстановился хорошо. 
🙏Сердечное Спасибо всем, кто помогает❤ 
Переломы срослись сами. 
Но прокусанный спинной мозг обратно не сошьешь. Проблема с кишечником у Тиграна останется 
🔴 НА ВСЮ ЖИЗНЬ 🔴
Ему ещё повезло , что он ходит и бегает! 
🔻По УЗИ много взвеси в мочевом пузыре. Предположительно, от того, что мочевой пузырь опорожняется неполностью. По рекомендации врача УЗИ сдали Общий анализ мочи. Он плохой. 

🙏Мы очень надеемся на вашу ПОМОЩЬ, Друзья ‼

 🙏 Пожалуйста, делайте репосты. Они помогают узнать о нас тем, кто может помочь🙏

Выписка
https://vk.com/photo645844476_457269637

https://vk.com/photo645844476_457284462

Карта ПОМОЩИ сбербанка
 2202 2056 7515 9765
 👛👛👛💰💰💰 

https://vk.com/wall-72994730_34303

https://vk.com/wall645844476_7133

https://vk.com/video645844476_456241215?…

🔻🔻А так же не полностью куплены обработки для ЯРОКОТИКОВ. 
 Все взяты с улицы в разное время. Обо всех есть посты на моей странице. 
На ветуслуги, лекарства, корм, наполнитель, клетки, передержку в этом месяце своих средств потрачено больше 25000 р. Ещё долг за передержку . Из своих доплачивать, просто, нечем. 

🔻В остальном у нас всё по плану.
 Симба после удаления глаза и зубов лечится на передержке с медуходом.
https://vk.com/wall645844476_8513

https://vk.com/wall645844476_9025

 Янтарик и Кузя проходят лечение почек, назначенное Нефрологом. Янтарик ест УРИНАРИ, Кузя - РЕНАЛ + 
Телмисартан (телпрес). 
❤Благодарю всех, кто нам помогает‼

🔻Ещё предстоят 
🔻 приём с анализами ТИГРАНУ. 
🔻Покупка СПЕЦКОРМА Уринари и Ренал почечникам Янтарику и Кузе. 
🔻Анализы, УЗИ и приём Нефролога Кузе и Янтарику. 
🔻Прием Дерматолога ВаськеЛуке. 
🔻Приём врача Симбе-Антону после курса лечения. 
🔻Обработки всем от внешних
(сделано) и внутренних паразитов. 

🔴ВСЕМ ЯРОКОТИКАМ НУЖНА 
 ПОМОЩЬ 🔴

Карта ПОМОЩИ сбербанка
 2202 2056 7515 9765
 👛👛👛💰💰💰 

Друзья, с вашей помощью мы много сделали 💖💕❤✔👍

Не бросайте нас и дальше, пожалуйста‼ 

Помощь можно оказать на карту сбербанка 

2202 2056 7515 9765
👛👛👛💰💰💰 

Номер телефона не указываю, потому что к нему привязаны и другие карты. 

Отчёт здесь 
https://vk.com/topic-214202200_49460903
И здесь 
https://vk.com/topic-214202200_49470048

В сообществе Ярокот
https://vk.com/club214202200

Куратор https://vk.com/id645844476

 🐈 Истории Феликса, Снежки🐈 Янтаря и других котов с улицы в постах на моей странице 
https://vk.com/wall-160040953_313760
https://vk.com/wall645844476_2734
https://vk.com/wall-160040953_278110
https://vk.com/wall645844476_2010
https://vk.com/wall645844476_2653
https://vk.com/wall645844476_1870
https://vk.com/wall645844476_1970
https://vk.com/wall-40561526_800893
https://vk.com/wall645844476_3612
https://vk.com/wall645844476_3844
https://vk.com/wall645844476_4163
 
Карта сбербанка 
2202 2056 7515 9765",1703619311
70,Новогодний костюм Гном с бородой. Размер 122-60 (64) для детей 4-7лет. Надевали 1 раз. Цена 800руб. Возможна скидка. Писать в лс. Забирать в Новокуйбышевске,1703619218
83,"Новый участник регионального конкурса «Декоративно-прикладное искусство»: Полуян Ирина Геннадьевна, Жигарева Екатерина Ивановна (ГБОУ ООШ №21 структурное подразделение ""Детский сад ""Гвоздичка"" / Новокуйбышевск, Самарская область).",1703618089
84,"2113 
2006г 
Новое масло и тосол 
Документы чистые 
Салон потерт, но не критично 
Коробка без хрустов, подвеска отлично 
Едет бодро проблем нет 
Проводка под музыку 
Дно пороги есть 
Птф есть, но не подключены 
Полностью в шумке 
105000 рублей 
Новокуйбышевск",1703617200
