,post,group_name,date
46,,jobnovokuybyshevsk,1709290801
47,"89376602766
Капитальный ремонт квартиры (новостройка/вторичка), офиса, дома, ванны, санузла, туалета и тд.
Mы дорожим своей репутацией и, в связи с этим, всегда выполняем работы наивысшего качества! есть возможность посетить действующие наши объекты.
★★★Я собрал лучших, чтобы Вы больше не искали.
● Если у вас уже есть конкретный проект, то мы можем его исполнить точь-в-точь, как вы выбрали.
● Если вы ещё не знаете, как обыграть своё помещение, есть какие-то нестандартные мысли, то звоните и мы решим все ваши проблемы.
● Оптимизируем проект под ваш имеющийся бюджет.
★★★ АКЦИЯ! При заказе с Вк ремонт под ключ в этом месяце скидка 10%. Подберем ремонт вашей квартиры под любой стиль: современный, классический, скандинавский, лофт, минимализм, кантри, хайтек, прованс.
Репутация, имя и клиент – превыше всего!
☆ Работаем так, чтобы вы нас могли рекомендовать своим родным и близким!консультация бесплатная!",jobnovokuybyshevsk,1709395200
48,"В РИТУАЛЬНЫЕ УСЛУГИ
на постоянную работу требуются:
- ВОДИТЕЛЬ - РАЗНОРАБОЧИЙ (оклад от 40 000 р);
- РАЗНОРАБОЧИЙ (оклад от 35 000 р).
График работы: с 8.30 до 17.30, дежурство по смене.
Обращаться по телефонам:
+7 927-013-35-55
Ольга Валентиновна",jobnovokuybyshevsk,1709391600
49,"Организации в г. Новокуйбышевск на постоянную работу требуются слесарь-ремонтник з.п от 44000, сварщик з.п от 47000, официальное трудоустройство, график работы с 8.00 до 17.00, пятидневка. Стабильная заработная плата - 2 раза в месяц.Тел. 89277556902",jobnovokuybyshevsk,1709388000
50,"В подрядную организацию ООО ""Рассвет""требуется оператор на мини- садовую самоходную косилку. 
График работы 5/2, с 08.00 до 17.00. 
Зарплата от 45 000т. руб. до 50 000т.руб. 
 
т.8-996-341-78-00 
т. 8-927-344-44-03 
т. 8-927-658-45-28",jobnovokuybyshevsk,1709379000
51,"Работа 
В производственную компанию в г. Новокуйбышевске требуется кладовщица
По всем вопросам прошу обращаться по телефону 89272188377",jobnovokuybyshevsk,1709377201
52,"Производственное объединение ""Проминдустрия"" приглашает на работу сотрудника по специальности: ""Грузчик-комплектовщик"".
Чтобы связаться с нами звоните по телефону 8 927 021 97 42
или пишите на почту chindinaam@po-promin.ru с понедельника по пятницу с 8.00 до 16.00",jobnovokuybyshevsk,1709376347
53,"Требуется менеджер-консультант в мастерской по изготовлению памятников из камня в г. Новокуйбышевск по ул . Ворошилова 28
Требования: женщина от 40 лет, коммуникабельность, вежливость, грамотная речь , умение общаться с клиентами
Обязаности: консультирование клиентов, оформление документов, расчет.
Зарплата: 20.000 + процент от продаж
 Тел:+7 927 722-18-82 Руслан.
Все вопросы по телефону.",jobnovokuybyshevsk,1709375982
54,"В подрядную организацию ООО ""Рассвет""требуется тракторист на Бобкат 
График работы 5/2, два графика с 06.00 до 14.00, с 08.00 до 17.00. 
Зарплата от 45 000т. руб. до 50 000т.руб. 
 
т.8-996-341-78-00 
т. 8-927-344-44-03 
т. 8-927-658-45-28",jobnovokuybyshevsk,1709375400
55,"LikeSpa (на территории комплекса ""Волжские термы"") приглашает на вакансию Администратор SPA Центра. 
 
Обязанности: 
-Приглашение на услуги SPA салона гостей комплекса ""Волжские термы"" (активные продажи на территории комплекса). 
-Осуществление коммуникаций с гостями. 
-Запись клиентов на услуги SPA салона: массажи, фишпилинг, массажное кресло, др. 
-Уход за рыбками в аквариумах (обучаем всему, несложно, есть четкие инструкции). 
-Контроль чистоты помещений (сигналы клинерам и другим сотрудникам). 
-Заказ и приемка расходников. 
-Прием и проведение оплаты за услуги. 
 
Требования: 
-Клиентоориентированность 
-Коммуникабельность. -Аккуратность. -Доброжелательность. 
-Работа на результат. 
-Ответственность. 
-Честность. 
-Желание делать продажи, отсутствие страха коммуникаций. 
- Желание учиться и развиваться. 
 
Условия: 
-Работа на территории спа-комплекса Волжские термы. (Адрес: г. Новокуйбышевск, ул. Суворова, д. 2) 
-Высокий проходной поток людей. 
-Возможность обучиться навыкам продаж, увеличению уровня навыков коммуникаций и многому другому (развиваться). 
-Сменный график (4\2 по 8 часов). 
-Оплата: выход в смену + процент с выручки. 
-Уровень дохода 30000 - 50 000 рублей. 
-Красивое и удобное место работы. 
-Комфортная форма из качественных материалов (футболка + шорты). 
-Скидка сотрудника 50% на услуги SPA Салона!. 
-Бесплатное посещение центра ""Волжские термы"" для сотрудника SPA салона и его семьи до трёх раз в месяц. 
-Оформление по ТК РФ. 
-Белая зарплата. 
 
Контакты: 
89170165557 
( Viber, WhatsApp, TG @LikaSmr ) 
Анжелика, 
менеджер по подбору персонала.",jobnovokuybyshevsk,1709370000
56,"❗На постоянную работу требуются сотрудники на должность: 
🔹Менеджер по работе с клиентами 
🕘График работы 5/2 (сб, вс выходной)
💰Зп: оклад+бонусная часть (в среднем 35000р)
Опыт работы не требуется. Предоставляется обучение 2-3 дня (обучение оплачивается)
📌Находимся по адресу: ул. Дзержинского, 13
✏Все подробности в ЛС 
📞Или по телефону: 8 901 942 19 04 (звонить в будни с 09:00 до 18:00)",jobnovokuybyshevsk,1709368200
57,"Требуются уборщицы для уборки помещений, график работы 5/2 не полный рабочий день, 19 500т руб. т.8-927-008-20-38 т. 8-996-732-28-47",jobnovokuybyshevsk,1709364600
58,,jobnovokuybyshevsk,1709362802
59,"В пекарню ""Воскресенская"" требуется: 
 
Помощник Пекаря.
График:2/2, 3/3, с 18.00 - до 08.00
Оплата - 2000 рублей-выход
 
Телефон для справок: 
8 987 986 85 30",jobnovokuybyshevsk,1709361000
60,"В подрядную организацию ООО ""Рассвет""требуется оператор на мини- садовую самоходную косилку. 
График работы 5/2, с 08.00 до 17.00. 
Зарплата от 45 000т. руб. до 50 000т.руб. 
 
т.8-996-341-78-00 
т. 8-927-344-44-03 
т. 8-927-658-45-28",jobnovokuybyshevsk,1709292600
61,"💁🏻‍♀ Крупная сеть розничных магазинов приглашает на работу сотрудников! 
 
Актуальные вакансии 👇🏻 
✔ АДМИНИСТРАТОР; 
✔ ПРОДАВЕЦ - КОНСУЛЬТАНТ. 
 
❤ Любить работу легко, когда есть: 
✔ Обучение, 
✔ Достойная заработная плата, 
✔ Официальное трудоустройство, 
✔ Сменный график, 
😜 Молодой, активный, позитивный коллектив! 
 
☎ Телефоны для связи: 
8 (927) 656-81-92 
8 (927) 692-38-00 
 
📝 Заполни анкету прямо сейчас: https://docs.google.com/forms/d/e/1FAIpQLSce6OaXQN0zwLHNl3oNJJPy4fWYd7Lf_lX6uQAZeXofQ7jIAg/viewform?pli=1",jobnovokuybyshevsk,1709298000
62,"В связи с расширением штата, в Автосервис с большим автомобильным трафиком требуется Автомеханик: 
- Стабильная заработная плата. 
- Новые, теплые боксы. 
- Новейшее оборудование. 
- Дружный коллектив. 
- Официальное трудоустройство. 
- Скидки в компании. 
- Выдача униформы. 
 
Подробная информация на собеседовании! 
📱 Тел. 8-937-659-35-35",jobnovokuybyshevsk,1709359200
63,"На автомойку Кирова 14, требуются автомойщики и шиномонтажник, с опытом работы, без вредных привычек! По всем вопросам обращаться по номеру телефона 89677207140",jobnovokuybyshevsk,1709357400
64,На мясокомбинат в г. Новокуйбышевск требуется кладовщик (муж.). График5/2.Работа в ночное время. Оформление ТК РФ. Все вопросы по телефону 8-937-799-78-72.,jobnovokuybyshevsk,1709355601
65,"В продуктовый магазин требуется продавец-кассир, зп 37000(2500 смена) , график 2/2 с 9:00-21:00, официальное трудоустройство. 
Вопросы по тлф 89379933390",jobnovokuybyshevsk,1709352000
66,В павильон разливных напитков требуется продавец т 89372090482,jobnovokuybyshevsk,1709312401
67,"Приглашаем на работу!📢 
 
🔎 Мы ищем сотрудников в кальянную Smoky LAIR на должность: 
▪️ Бармен
▪ Официант 
▪ Клининг
 
💰 СТАБИЛЬНАЯ ЗАРПЛАТА: 
▪Выплаты 2 раза в месяц 
▪Чаевые 
 
📆 ГИБКИЙ ГРАФИК РАБОТЫ: 
▪график 2/2 или 3/3
▪возможность скорректировать график исходя из вашей занятости 
 
Можно без опыта, полное обучение с нуля, всему научим, все покажем 😉 
 
Ждём вас в нашу команду 🖤 
 
📌По всем вопросам обращайтесь по телефону: +7 (919) 808-55-10 Юлия",jobnovokuybyshevsk,1709310875
68,"В РИТУАЛЬНЫЕ УСЛУГИ
на постоянную работу требуются:
- ВОДИТЕЛЬ - РАЗНОРАБОЧИЙ (оклад от 40 000 р);
- РАЗНОРАБОЧИЙ (оклад от 35 000 р).
График работы: с 8.30 до 17.30, дежурство по смене.
Обращаться по телефонам:
+7 927-013-35-55
Ольга Валентиновна",jobnovokuybyshevsk,1709305201
69,"На предприятие АО""ЭКЗА"" нужен повар, улЭнергетиков 7. График 5/2. Соц пакет.Дмс.спец одежда,.Доставка транспортом. 89277193120",jobnovokuybyshevsk,1709301601
70,"Производственное объединение ""Проминдустрия"" приглашает на работу сотрудника по специальности: ""Слесарь КИПиА"".
Чтобы связаться с нами звоните по телефону 8 927 021 97 42
или пишите на почту chindinaam@po-promin.ru с понедельника по пятницу с 8.00 до 16.00",jobnovokuybyshevsk,1709299800
71,"Требуется Шиномонтажник с опытом работы , на постоянную основу , график и оплата обсуждаемая , звонить по тел 89297045857",jobnovokuybyshevsk,1709550002
72,"Открыты вакансии в Бар Gellert: 
 
Бармен 
Барбек (Повар) 
 
Мы предлагаем: 
- стабильную заработную плату 
- гибкий график 
- возможность работать по 6 часов для учащихся 
- дружный коллектив 
- комфортные условия работы 
 
Мы ждём от тебя: 
- наличие сан. книжки или готовность её оформить 
- желание работать и зарабатывать, развиваться в нашей компании, повышать свой профессионализм 
 
Опыт работы не обязателен, но приветствуется. Оплачиваемое обучение в дружном коллективе. 
 
📞 Телефон для связи: +7(939) 870 8236 Артём 
 
Мы ждём именно тебя!",jobnovokuybyshevsk,1709553601
73,"Требуется: Водитель-экспедитор 
 
Требования: 
- Водительский стаж от 1 года, категория В. 
- Ответственность, исполнительность, вежливость. 
- Умение работать с сопроводительной документацией. 
 
Условия: 
 
- Доставка бутилированной воды 19 литров; 
- ЗП сдельная (два раза в месяц); 
- Работа на автомобиле работодателя. 
- Испытательный срок 1 месяц. 
- График 2/2, с 08-00 до 20-00 
- Зарплата сдельная от 45 000 руб. 
 
(два раза в месяц); 
 
Все вопросы и запись на собеседование по телефону: +7 (987) 912-91-94",jobnovokuybyshevsk,1709557666
74,,jobnovokuybyshevsk,1709559000
75,"Требуется Администратор Автомойки , график 2/2, зп 1500выход , с 8 до 20.00. Тел для связи 89277177270",jobnovokuybyshevsk,1709560802
76,"Требуется повар-универсал. Зарплата 45.000-60.000 на руки. 
Опыт работа : от 1 года до 3 лет
Обязанности:
приготовление и оформление блюд

соблюдение технологического процесса согласно утвержденной рецептуре

составление заявок на сырье и полуфабрикаты, используемые при приготовлении блюд

соблюдение требований СанПин, соблюдение товарного соседства, маркировка сырья и заготовка п/ф

подготовка инвентаря, оборудования и рабочего места повара к работе

участие в инвентаризации

Требования:

опыт работы в общепите

аккуратность

исполнительность

дисциплинированность

чистоплотность

наличие медицинской книжки или готовность ее сделать

Условия:

график работы 3/3

питание 2 раза в смену за счет организации

организация предоставляет форму для работы

заработная плата выплачивается своевременно 2 раза в месяц. 
Адрес : ул. Белорусская 128 г. Яхтенный клуб Ласточка. 
Обращаться по телефону: 
+7 927 686-38-00.",jobnovokuybyshevsk,1709561727
77,,jobnovokuybyshevsk,1709568000
78,"Hа постоянную рабoту в пункт выдачи зaказoв Wildberries срочно трeбуетcя сотрудник!!! 
Требования: внимательность, ответственность, умение общаться с клиентами. 
Обязанности: приём товара, выдача заказов клиентам, оформление возвратов, поддержание пвз в чистоте. 
График : 2/2 
с 10 до 21 
Вопросы по тел. +79277547996",jobnovokuybyshevsk,1709568392
79,"Приглашаем🔅 на постоянную работу в стабильную и успешную сеть магазинов ПивОк Продавца-кассира
- Новокуйбышевск ул Гагарина 15

От нас:
- оплачиваемая стажировка
- Обучение с опытным наставником
- график работы 7/7
- заработная плата от 30 000 р.
- официальное оформление по желанию 

От Вас:
- желание работать и зарабатывать
- честность
- активность
- коммуникабельность

Рассмотрим также без опыта работы

Звонить 89879560370 с понедельника по пятницу с 09:00 до 23.00",jobnovokuybyshevsk,1709571601
80,,jobnovokuybyshevsk,1709395851
81,"В связи с расширением производства ООО «Универсал Сервис» требуются Грузчики (без вредных привычек) 
для осуществления погрузо-разгрузочных работ на территории ООО «НЗМП» г.Новокуйбышевск. Официальное трудоустройство. 
- зарплата 38 000 руб; 
-график работы 5/2 с 8:00-17:00; 
-выдается спецодежда 
 
Обращаться по тел.8 927 650 43 27 Елена Юрьевна",jobnovokuybyshevsk,1709398800
82,"Новокуйбышевск 
В продуктовый магазин Кирова 11 требуется продавец-кассир, график 2/2 с 9:00-21:00, официальное трудоустройство, зп 37000(2500 смена) 
Вопросы по тлф 89379933390",jobnovokuybyshevsk,1709611200
83,"В Столовую на территории завода ННК срочно требуются:

- повар , график 2/2 , зп 35000
- кухонный работник, график 2/2, зп 28000
-грузчик , график 5/2, зп 28000",jobnovokuybyshevsk,1709614801
84,"Требуется оператор на мини- садовую самоходную косилку. 
График работы 5/2, с 08.00 до 17.00. 
Зарплата от 45 000т. руб. до 50 000т.руб. 
 
т.8-996-341-78-00 
т. 8-927-344-44-03 
т. 8-927-658-45-28",jobnovokuybyshevsk,1709617948
85,"Требуются уборщицы для уборки помещений, график работы 5/2 не полный рабочий день, 19 500т руб. т.8-927-008-20-38 т. 8-996-732-28-47",jobnovokuybyshevsk,1709617950
86,"В связи с расширением штата, в Автосервис с большим автомобильным трафиком требуется Автомеханик: 
- Стабильная заработная плата. 
- Новые, теплые боксы. 
- Новейшее оборудование. 
- Дружный коллектив. 
- Официальное трудоустройство. 
- Скидки в компании. 
- Выдача униформы. 
 
Подробная информация на собеседовании! 
📱 Тел. 8-937-659-35-35",jobnovokuybyshevsk,1709618400
87,"В пекарню ""Воскресенская"" требуется: 
 
Помощник Пекаря.
График:2/2, 3/3, с 18.00 - до 08.00
Оплата - 2000 рублей-выход
 
Телефон для справок: 
8 987 986 85 30",jobnovokuybyshevsk,1709620200
88,"🔴🟡🟢🔵
В магазин Детский Мир требуется: 
🔴🟡🟢🔵

-Старший менеджер по товару (на склад, находящ. в магазине. Тепло, уютно) на приём товара. Работа в программе SAP 
График 5/2 с 9:00 до 18:00. (обед в комнате отдыха со всеми условиями) 
Выходные: воскресенье/понедельник
З/п от 41000 руб
Трудоустройство официальное 

Обращаться в магазин ТЦ Сити Парк 3 этаж. 
С 10:00 до 22:00

Или по тел: 8-927-603-13-13 Наталья",jobnovokuybyshevsk,1709623800
